csv_category,nav_top_menu,nav_column,nav_item_matched,status
140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
AMA Roller Pipe Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Air Angle Grinders,WELDING WORKSHOP,Air Tools & Compressors,Air Angle Grinders,MAPPED
Air Belt Sanders,WELDING WORKSHOP,Air Tools & Compressors,Air Sanders / Polishers,MAPPED
Air Compressor Hoses & Accessories,WELDING WORKSHOP,Air Tools & Compressors,Air Hoses & Accessories,MAPPED
Air Compressor Safety Cages,WELDING WORKSHOP,Air Tools & Compressors,Air Hoses & Accessories,MAPPED
Air Compressors,WELDING WORKSHOP,Air Tools & Compressors,[Parent],MAPPED
Air Die Grinders,WELDING WORKSHOP,Air Tools & Compressors,Air Die Grinders,MAPPED
Air Drills,WELDING WORKSHOP,Air Tools & Compressors,Air Drills,MAPPED
Air Fed Face Shields,SAFETY & PPE,Welding Helmets & Eye Protection,Air Fed Face Shields,MAPPED
Air Impact Wrenches,WELDING WORKSHOP,Air Tools & Compressors,Air Impact Wrenches,MAPPED
Air Line Hoses,WELDING WORKSHOP,Air Tools & Compressors,Air Hoses & Accessories,MAPPED
Air Needle Scalers,WELDING WORKSHOP,Air Tools & Compressors,Air Needle Scalers,MAPPED
Air Purifying Systems,FUME EXTRACTION,Kemper Filtration Systems,Kemper Air Purifying,MAPPED
Air Rachet Wrenches,WELDING WORKSHOP,Air Tools & Compressors,Air Ratchet Wrenches,MAPPED
Air Riveters,WELDING WORKSHOP,Air Tools & Compressors,Air Riveters,MAPPED
Air Sanders / Air Polishers,WELDING WORKSHOP,Air Tools & Compressors,Air Sanders / Polishers,MAPPED
Air Screwdrivers,WELDING WORKSHOP,Air Tools & Compressors,Air Screwdrivers,MAPPED
Air Tools,WELDING WORKSHOP,Air Tools & Compressors,[Parent],MAPPED
Air Tools & Compressors,WELDING WORKSHOP,Air Tools & Compressors,[Parent],MAPPED
Aluminium CD Weld Studs,ARC WELDING,Arc Welding Accessories,Weld Studs - Aluminium,MAPPED
Aluminium MIG Wire,MIG WELDING,MIG Welding Wire,Aluminium MIG Wire,MAPPED
Angle Grinder Discs,ABRASIVES,Cutting & Grinding Discs,[Parent],MAPPED
Anti-Spatter Spray,MIG WELDING,MIG Welding Accessories,Anti-Spatter Spray,MAPPED
Arc-Air Gouging Carbons,ARC WELDING,Arc Welding Accessories,Arc-Air Gouging Carbons,MAPPED
Arc/MMA Welders,ARC WELDING,Arc/MMA Welding Machines,[Parent],MAPPED
Ardrox NDT Aerosols,WELDING WORKSHOP,Welding Chemicals & Consumables,Welding Chemicals & Sprays,MAPPED
Ardrox NDT Products,WELDING WORKSHOP,Welding Chemicals & Consumables,Welding Chemicals & Sprays,MAPPED
Argon & Co2 Gas Heaters,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Argon/Shielding Gas Hose,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Argon / Shielding Gas Hose,MAPPED
Auto Changeover Manifolds (2 x 1 / 0 - 10 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Auto Changeover Manifolds (2 x 1 / 0 - 6 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Auto Changeover Manifolds (MCP 2 x 1 / 0 - 10 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Auto Changeover Manifolds (MCP 2 x 1 / 0 - 6 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Automatic Pipe Cutting Machine Spares,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Automatic Pipe Cutting Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Belt Driven Air Compressors,WELDING WORKSHOP,Air Tools & Compressors,Belt Driven Compressors,MAPPED
Bench & Wall Mounted Outlet Points,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Bench Top Extractors,FUME EXTRACTION,On-Torch & Bench Extraction,Bench Top Extractors,MAPPED
Binzle-Style MIG Consumables,MIG WELDING,MIG Welding Torches & Parts,Binzel-Style Consumables,MAPPED
Binzle-Style MIG Torch Consumables,MIG WELDING,MIG Welding Torches & Parts,Binzel-Style Consumables,MAPPED
Black Bridge Clamps,PIPE WELDING,Pipe Welding Clamps,Bridge Clamps,MAPPED
Brazing MIG Wire,MIG WELDING,MIG Welding Wire,Brazing MIG Wire,MAPPED
Broaching Cutters,WELDING MACHINES,Specialist Welding Equipment,Broaching Cutters,MAPPED
Bulk MIG Wire,MIG WELDING,MIG Welding Wire,Bulk MIG Wire,MAPPED
Bymat Weld Cleaning Machines,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
CO2 Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,CO2 Regulators,MAPPED
Cable Reels,WELDING WORKSHOP,Welding Tools & Equipment,Cable Reels,MAPPED
Cage Pipe Clamps,PIPE WELDING,Pipe Welding Clamps,Cage Clamps,MAPPED
Carbon Arc Gouging Torches,ARC WELDING,Arc Welding Accessories,Carbon Arc Gouging Torches,MAPPED
Carbon Arc-Air Gouging Equipment,ARC WELDING,Arc Welding Accessories,[Parent],MAPPED
