name,slug,full_path,parent,level
MIG,mig-welding,mig-welding,,0
MIG Welding Machines,welders,mig-welding/welders,mig-welding,1
MIG Welding Torches & Parts,torches,mig-welding/torches,mig-welding,1
Binzle-Style MIG Consumables,binzle-style-mig-consumables,mig-welding/torches/binzel-consumables/binzle-style-mig-consumables,mig-welding/torches,2
Binzle-Style MIG Torch Consumables,binzle-style-mig-torch-consumables,mig-welding/torches/binzel-consumables/binzle-style-mig-torch-consumables,mig-welding/torches,2
MIG Welding Wire,wire,mig-welding/wire,mig-welding,1
Flux Cored MIG Wire - Stainless Steel,flux-cored-mig-wire-stainless-steel,mig-welding/wire/flux-cored/flux-cored-mig-wire-stainless-steel,mig-welding/wire,2
Flux Cored MIG Wire - Steel,flux-cored-mig-wire-steel,mig-welding/wire/flux-cored/flux-cored-mig-wire-steel,mig-welding/wire,2
High Strength Steel MIG Wire,high-strength-steel-mig-wire,mig-welding/wire/mild-steel/high-strength-steel-mig-wire,mig-welding/wire,2
MIG Welding Accessories,accessories,mig-welding/accessories,mig-welding,1
Gas Economisers - Oxy/Acetylene,gas-economisers-oxy-acetylene,gas-oxy-fuel/economisers/gas-economisers-oxy-acetylene,mig-welding/accessories,2
TIG,tig-welding,tig-welding,,0
TIG Welding Machines,welders,tig-welding/welders,tig-welding,1
TIG Welding Torches & Tungsten,torches,tig-welding/torches,tig-welding,1
TIG Torch Adaptors & Switches,tig-torch-adaptors-and-switches,tig-welding/torches/adaptors/tig-torch-adaptors-and-switches,tig-welding/torches,2
TIG Welding Filler Rods,filler-rods,tig-welding/filler-rods,tig-welding,1
TIG Filler Rods for High Strength Steel,tig-filler-rods-for-high-strength-steel,tig-welding/filler-rods/mild-steel/tig-filler-rods-for-high-strength-steel,tig-welding/filler-rods,2
TIG Filler Rods for Mild Steel,tig-filler-rods-for-mild-steel,tig-welding/filler-rods/mild-steel/tig-filler-rods-for-mild-steel,tig-welding/filler-rods,2
Stainless Steel Welding Electrodes,stainless-steel-welding-electrodes,tig-welding/filler-rods/stainless/stainless-steel-welding-electrodes,tig-welding/filler-rods,2
TIG Filler Rods for Stainless Steel,tig-filler-rods-for-stainless-steel,tig-welding/filler-rods/stainless/tig-filler-rods-for-stainless-steel,tig-welding/filler-rods,2
TIG Welding Accessories,accessories,tig-welding/accessories,tig-welding,1
