ID,SKU,Name,Old Categories,New Categories,Status
1699,SSARG2G,Argon Regulator 1 Stage 2 Gauge 10 Bar,Welding Equipment,WELDING MACHINES > Welding Machines,MAPPED
1716,BCG30CHN,Guide Chain 2.4 m (BCG30CHN),Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel),PLASMA CUTTING > Oxy-Fuel Cutting Machines > Gas Cutting Machines (Oxy-Fuel),MAPPED
1718,BCG31-WWVP,Straight Line Cutting Machine - Oxy-Acetylene,"Welding Equipment > Oxy-Fuel Equipment > Cutting Machines > Straight Line Cutting Machines, Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Straight Line Cutting Machines",PLASMA CUTTING > Oxy-Fuel Cutting Machines > Straight Line Cutting Machines,MAPPED
1720,BCG30ITCH,Replacement Torch for Straight Line Cutting Machine,"Welding Equipment > Oxy-Fuel Equipment > Cutting Machines > Straight Line Cutting Machines, Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Straight Line Cutting Machines",PLASMA CUTTING > Oxy-Fuel Cutting Machines > Straight Line Cutting Machines,MAPPED
1721,BCG31ITRK,Straight Line Cutting Machine Track - 1.2 m (2 Pieces) (BCG31ITRK),"Welding Equipment > Oxy-Fuel Equipment > Cutting Machines > Straight Line Cutting Machines, Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Straight Line Cutting Machines",PLASMA CUTTING > Oxy-Fuel Cutting Machines > Straight Line Cutting Machines,MAPPED
1723,9500,Oxy-Acetylene Pipe Cutter with 2.4m Chain,Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Pipe Cutting Machines (Oxy-Acetylene),PLASMA CUTTING > Oxy-Fuel Cutting Machines > Pipe Cutting Machines (Oxy),MAPPED
1725,BCG30PCM49,Torch for Manual Chain Driven Pipe Cutting Machine (BCG30PCM49),Gas & Plasma Cutting Machines > Gas Cutting Machines (Oxy-Fuel) > Pipe Cutting Machines (Oxy-Acetylene),PLASMA CUTTING > Oxy-Fuel Cutting Machines > Pipe Cutting Machines (Oxy),MAPPED
1726,BCGCIRCLE31,Straight Line Cutter Circle Cutting Guide - Model 31,Welding Equipment > Oxy-Fuel Equipment > Cutting Machines > Straight Line Cutting Machines,PLASMA CUTTING > Oxy-Fuel Cutting Machines > Straight Line Cutting Machines,MAPPED
1728,BU100B,British Style NM Type 18/90 Cutter (BU100B),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1730,BU100B75,NM Type 18/75 Gas Cutting Torch (BU100B75),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1731,BU200B,NM Type 27/90 Gas Cutting Torch (BU200B),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1734,BU300B/2002/36-90,NM Type 36/90 Gas Cutting Torch (BU300B/2002/36-90),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1735,BU300B180,British Style NM Type 36/180 Cutter (BU300B180),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1736,BU300B75,NM Type 36/75 Gas Cutting Torch (BU300B75),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1737,BU400B,NM Type 48/90 Gas Cutting Torch (BU400B),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1738,BU400B180,British Style NM Type 48/180 Cutter (BU400B180),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1739,BU400B75,NM Type 48/75 Gas Cutting Torch (BU400B75),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1740,BU600B,NM Type 60/90 Gas Cutting Torch (BU600B),Welding Equipment > Oxy-Fuel Equipment > Oxy Fuel Torches > Gas Cutting Torches,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment > Gas Cutting Torches,MAPPED
1750,DZ10002,Cylinder Trolley Oxygen/Propane (DZ10002),Gas Delivery & Control > Gas Cylinder Storage & Handling > Gas Cylinder Trolleys & Handling > Gas Cylinder Trolleys > Gas Cylinder Trolleys - Non UK Made,"GAS & OXY-FUEL > Gas Hoses, Fittings & Storage > Gas Cylinder Trolleys",MAPPED
